protocol_id	source	endpoint	metric_level	task	split	seed_status	model_key	parameter_count	pretraining_variant	window_bp	n_species	n_windows_per_species	mean_te_f1
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_100m_pre_8kb	100M	8kb_pretrained	4096	5	1200	0.15933504444903
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_100m_pre_8kb	100M	8kb_pretrained	8192	6	1200	0.436548075110453
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_100m_pre_8kb	100M	8kb_pretrained	8192	5	1200	0.133642017519688
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_650m_pre	650M	pretrained	512	6	1200	0.384434165358856
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_650m_pre	650M	pretrained	512	5	1200	0.245901363426577
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_650m_pre	650M	pretrained	1024	6	1200	0.415996565608916
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_650m_pre	650M	pretrained	1024	5	1200	0.231044903720852
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_650m_pre	650M	pretrained	2048	6	1200	0.447508573414105
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_650m_pre	650M	pretrained	2048	5	1200	0.211755752316742
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_650m_pre	650M	pretrained	4096	6	1200	0.459492769664787
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_650m_pre	650M	pretrained	4096	5	1200	0.201700870657569
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_650m_pre	650M	pretrained	8192	6	1200	0.439001932192367
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_650m_pre	650M	pretrained	8192	5	1200	0.171433426822456
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_650m_pre_8kb	650M	8kb_pretrained	512	6	1200	0.434031933742628
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_650m_pre_8kb	650M	8kb_pretrained	512	5	1200	0.245420553441976
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_650m_pre_8kb	650M	8kb_pretrained	1024	6	1200	0.449876232456242
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_650m_pre_8kb	650M	8kb_pretrained	1024	5	1200	0.226114688130386
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_650m_pre_8kb	650M	8kb_pretrained	2048	6	1200	0.50486750736827
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_650m_pre_8kb	650M	8kb_pretrained	2048	5	1200	0.261349979566314
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_650m_pre_8kb	650M	8kb_pretrained	4096	6	1200	0.552964011254079
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_650m_pre_8kb	650M	8kb_pretrained	4096	5	1200	0.236323948240485
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_650m_pre_8kb	650M	8kb_pretrained	8192	6	1200	0.441928007079527
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_650m_pre_8kb	650M	8kb_pretrained	8192	5	1200	0.0882656463039887
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_8m_pre	8M	pretrained	512	6	1200	0.432911233561212
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_8m_pre	8M	pretrained	512	5	1200	0.253786406674263
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_8m_pre	8M	pretrained	1024	6	1200	0.424597129057532
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_8m_pre	8M	pretrained	1024	5	1200	0.237895095875869
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_8m_pre	8M	pretrained	2048	6	1200	0.522860345401073
