feature_set	split	margin	min_pred	max_sd	n_species	single_anchor_coverage	single_anchor_top1_accuracy	top2_or_probe_coverage	action_contains_true_best_rate	action_contains_true_top2_rate	mean_regret_after_action	p90_regret_after_action	low_best_species_rate	low_chosen_species_rate	usable_action_policy
baseline_deployable	leave_clade_out	0.15	0.0	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.0	0.2	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.0	1.0	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.5	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.5	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.5	0.2	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.5	1.0	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.7	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.7	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.7	0.2	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.7	1.0	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.8	0.05	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.8	0.1	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.8	0.2	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_clade_out	0.15	0.8	1.0	22	0.0	nan	1.0	0.36363636363636365	0.6818181818181818	0.09070177157507305	0.13604962842907	0.13636363636363635	0.2727272727272727	False
baseline_deployable	leave_species_out	0.0	0.0	0.05	22	0.0	nan	1.0	0.8181818181818182	0.8636363636363636	0.052271168411103436	0.05090432272386858	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.0	0.1	22	0.045454545454545456	0.0	0.9545454545454546	0.8181818181818182	0.8636363636363636	0.052271168411103436	0.05090432272386858	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.0	0.2	22	0.6363636363636364	0.42857142857142855	0.36363636363636365	0.5909090909090909	0.8636363636363636	0.054514591228249615	0.05492095619892645	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.0	1.0	22	1.0	0.5	0.0	0.5	0.8636363636363636	0.055031102463486435	0.05492095619892645	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.5	0.05	22	0.0	nan	1.0	0.8181818181818182	0.8636363636363636	0.052271168411103436	0.05090432272386858	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.5	0.1	22	0.0	nan	1.0	0.8181818181818182	0.8636363636363636	0.052271168411103436	0.05090432272386858	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.5	0.2	22	0.5	0.45454545454545453	0.5	0.5909090909090909	0.8636363636363636	0.054514591228249615	0.05492095619892645	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.5	1.0	22	0.8181818181818182	0.5	0.18181818181818182	0.5	0.8636363636363636	0.055031102463486435	0.05492095619892645	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.7	0.05	22	0.0	nan	1.0	0.8181818181818182	0.8636363636363636	0.052271168411103436	0.05090432272386858	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.7	0.1	22	0.0	nan	1.0	0.8181818181818182	0.8636363636363636	0.052271168411103436	0.05090432272386858	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.7	0.2	22	0.3181818181818182	0.14285714285714285	0.6818181818181818	0.5909090909090909	0.8636363636363636	0.054514591228249615	0.05492095619892645	0.13636363636363635	0.22727272727272727	True
baseline_deployable	leave_species_out	0.0	0.7	1.0	22	0.4090909090909091	0.1111111111111111	0.5909090909090909	0.5454545454545454	0.8636363636363636	0.054568100641187424	0.05492095619892645	0.13636363636363635	0.22727272727272727	True
