panel	variant	exp_id	seed	window	max_eval_samples	n_bp	token_label_mode	threshold	postprocess_family	bp_tp	bp_fp	bp_fn	bp_tn	bp_precision	bp_recall	bp_f1	bp_positive_rate_true	bp_positive_rate_pred	bp_n	pred_true_backed_rate	short_pred_segments	short_true_backed_rate	short_mean_best_iou	mean_fragments_per_true	split_true_rate	missed_true_rate	deleted_baseline_fragments	deleted_true_backed_fragments	deleted_false_fragments	deleted_true_backed_fraction	overmerge_rate	iou_threshold	boundary_tol_bp	true_segments	pred_segments	segment_tp	segment_fp	segment_fn	segment_precision	segment_recall	segment_f1	mean_matched_iou	boundary_precision	boundary_recall	boundary_f1	median_boundary_error_bp	gap	min_len	hmm_penalty	rescue_threshold	rescue_max_len	short_cutoff	delta_segment_vs_raw_t050	delta_boundary_vs_raw_t050	delta_missed_vs_raw_t050	strict_guardrail_safe
human_test	gap50_min80_t0.40	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.4	gap_minlen	58963	4822	12921	87134	0.9244022889394058	0.8202520727839296	0.8692184655300769	0.4387451171875	0.389312744140625	163840	0.8671875	0	0.0	0.0	0.7418032786885246	0.00819672131147541	0.29508196721311475	27	17	10	0.6296296296296297	0.2421875	0.8	5	244	128	62	66	182	0.484375	0.2540983606557377	0.33333333333333337	0.9361275814766316	0.2265625	0.11885245901639344	0.15591397849462366	4.25	50	80					0.1791417165668663	0.0795666731054021	0.008196721311475419	False
human_test	gap100_min100_t0.40	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.4	gap_minlen	59781	6051	12103	85905	0.9080842143638352	0.8316315174447722	0.868177989485608	0.4387451171875	0.401806640625	163840	0.8080808080808081	0	0.0	0.0	0.6967213114754098	0.004098360655737705	0.319672131147541	20	10	10	0.5	0.32323232323232326	0.8	5	244	99	47	52	197	0.47474747474747475	0.19262295081967212	0.27405247813411077	0.9324792310388526	0.21212121212121213	0.0860655737704918	0.12244897959183673	4.5	100	100					0.1198608613676437	0.04610167420261517	0.032786885245901676	False
human_test	raw_t0.50	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.5	raw	54347	3646	17537	88310	0.9371303433172969	0.7560375048689555	0.8368995280149679	0.4387451171875	0.353961181640625	163840	0.8736263736263736	924	0.8593073593073594	0.010580659989398434	4.016393442622951	0.18442622950819673	0.28688524590163933	0	0	0	0.0	0.015567765567765568	0.8	5	244	1092	103	989	141	0.09432234432234432	0.42213114754098363	0.15419161676646706	0.9405342237825162	0.046703296703296704	0.20901639344262296	0.07634730538922156	4.0							0.0	0.0	0.0	True
human_test	gap25_min40_t0.50	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.5	gap_minlen	56475	4065	15409	87891	0.9328543111992071	0.7856407545489956	0.8529420648824987	0.4387451171875	0.3695068359375	163840	0.8980891719745223	16	0.875	0.22281604644984998	0.8032786885245902	0.01639344262295082	0.29508196721311475	41	37	4	0.9024390243902439	0.16560509554140126	0.8	5	244	157	73	84	171	0.46496815286624205	0.29918032786885246	0.3640897755610973	0.942041853585493	0.24203821656050956	0.1557377049180328	0.18952618453865339	3.0	25	40					0.20989815879463022	0.11317887914943182	0.008196721311475419	False
human_test	gap50_min80_t0.50	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.5	gap_minlen	56295	4291	15589	87665	0.9291750569438484	0.7831367202715486	0.849928285649581	0.4387451171875	0.36978759765625	163840	0.8854961832061069	0	0.0	0.0	0.7377049180327869	0.00819672131147541	0.3155737704918033	79	69	10	0.8734177215189873	0.22137404580152673	0.8	5	244	131	62	69	182	0.4732824427480916	0.2540983606557377	0.3306666666666666	0.9363215751526552	0.22137404580152673	0.11885245901639344	0.15466666666666665	4.5	50	80					0.17647504990019955	0.07831936127744508	0.028688524590163966	False
human_test	gap100_min100_t0.50	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.5	gap_minlen	58224	5528	13660	86428	0.9132889948550633	0.8099716209448556	0.8585331327966027	0.4387451171875	0.389111328125	163840	0.8653846153846154	0	0.0	0.0	0.7049180327868853	0.004098360655737705	0.3237704918032787	23	13	10	0.5652173913043478	0.27884615384615385	0.8	5	244	104	48	56	196	0.46153846153846156	0.19672131147540983	0.27586206896551724	0.9384364760661857	0.22115384615384615	0.0942622950819672	0.13218390804597702	4.25	100	100					0.12167045219905018	0.055836602656755455	0.036885245901639385	False
human_test	raw_t0.60	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.6	raw	50616	3245	21268	88711	0.9397523254302742	0.7041344388180958	0.8050578551831086	0.4387451171875	0.328741455078125	163840	0.8859180035650623	956	0.8734309623430963	0.012081777057005406	4.168032786885246	0.19672131147540983	0.29098360655737704	682	606	76	0.8885630498533724	0.0142602495543672	0.8	5	244	1122	103	1019	141	0.09180035650623886	0.42213114754098363	0.150805270863836	0.9428410565009163	0.04634581105169341	0.21311475409836064	0.07613469985358712	3.5							-0.003386345902631066	-0.00021260553563444418	0.0040983606557377095	False
human_test	gap25_min40_t0.60	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.6	gap_minlen	52861	3705	19023	88251	0.9345012905278789	0.7353653107784764	0.8230595562475671	0.4387451171875	0.34525146484375	163840	0.9146341463414634	20	0.95	0.28453321344667115	0.8114754098360656	0.012295081967213115	0.29918032786885246	631	576	55	0.9128367670364501	0.1524390243902439	0.8	5	244	164	81	83	163	0.49390243902439024	0.3319672131147541	0.39705882352941174	0.9344868125338978	0.22560975609756098	0.15163934426229508	0.18137254901960786	4.0	25	40					0.24286720676294468	0.1050252436303863	0.012295081967213128	False
human_test	gap50_min80_t0.60	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.6	gap_minlen	53005	3989	18879	87967	0.930010176509808	0.737368538200434	0.8225608715219045	0.4387451171875	0.34786376953125	163840	0.8846153846153846	0	0.0	0.0	0.7295081967213115	0.00819672131147541	0.32786885245901637	548	501	47	0.9142335766423357	0.2230769230769231	0.8	5	244	130	64	66	180	0.49230769230769234	0.26229508196721313	0.34224598930481287	0.9304578642681922	0.2153846153846154	0.11475409836065574	0.1497326203208556	4.75	50	80					0.1880543725383458	0.07338531493163404	0.04098360655737704	False
human_test	gap100_min100_t0.60	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.6	gap_minlen	54989	5155	16895	86801	0.9142890396382016	0.7649685604585165	0.8329899718241585	0.4387451171875	0.36708984375	163840	0.8737864077669902	0	0.0	0.0	0.6967213114754098	0.004098360655737705	0.3442622950819672	325	282	43	0.8676923076923077	0.27184466019417475	0.8	5	244	103	50	53	194	0.4854368932038835	0.20491803278688525	0.2881844380403458	0.9332235422081332	0.21359223300970873	0.09016393442622951	0.12680115273775217	4.75	100	100					0.13399282127387876	0.0504538473485306	0.05737704918032788	False
human_test	raw_t0.70	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.7	raw	46764	2830	25120	89126	0.9429366455619631	0.65054810528073	0.7699171866510809	0.4387451171875	0.30269775390625	163840	0.8466019417475729	870	0.8264367816091954	0.013782569011063877	3.6557377049180326	0.20491803278688525	0.30327868852459017	844	744	100	0.8815165876777251	0.014563106796116505	0.8	5	244	1030	105	925	139	0.10194174757281553	0.430327868852459	0.16483516483516483	0.9414366942499615	0.05145631067961165	0.21721311475409835	0.08320251177394035	3.5							0.010643548068697772	0.006855206384718787	0.016393442622950838	False
human_test	gap25_min40_t0.70	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.7	gap_minlen	48326	3394	23558	88562	0.9343774168600155	0.6722775582883534	0.7819488042458173	0.4387451171875	0.315673828125	163840	0.9119496855345912	18	0.9444444444444444	0.4164892765264978	0.7745901639344263	0.01639344262295082	0.3114754098360656	849	759	90	0.8939929328621908	0.15723270440251572	0.8	5	244	159	81	78	163	0.5094339622641509	0.3319672131147541	0.401985111662531	0.9395290267028967	0.2389937106918239	0.1557377049180328	0.18858560794044665	3.5	25	40					0.24779349489606392	0.11223830255122509	0.024590163934426257	False
human_test	gap50_min80_t0.70	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.7	gap_minlen	48230	3643	23654	88313	0.9297707863435699	0.6709420733403817	0.7794306584678038	0.4387451171875	0.316607666015625	163840	0.8837209302325582	0	0.0	0.0	0.7090163934426229	0.012295081967213115	0.3483606557377049	810	732	78	0.9037037037037037	0.21705426356589147	0.8	5	244	129	63	66	181	0.4883720930232558	0.2581967213114754	0.3378016085790885	0.9380900687795374	0.2248062015503876	0.11885245901639344	0.1554959785522788	4.0	50	80					0.18360999181262141	0.07914867316305725	0.061475409836065587	False
human_test	gap100_min100_t0.70	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.7	gap_minlen	50928	4714	20956	87242	0.9152798245929334	0.708474764899004	0.7987077145052774	0.4387451171875	0.33961181640625	163840	0.875	0	0.0	0.0	0.6762295081967213	0.004098360655737705	0.36475409836065575	725	659	66	0.9089655172413793	0.2692307692307692	0.8	5	244	104	50	54	194	0.4807692307692308	0.20491803278688525	0.2873563218390805	0.9376899486033787	0.22115384615384615	0.0942622950819672	0.13218390804597702	4.25	100	100					0.13316470507261344	0.055836602656755455	0.07786885245901642	False
human_test	raw_t0.80	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.8	raw	42972	2286	28912	89670	0.9494895930001326	0.5977964498358467	0.733673661026788	0.4387451171875	0.27623291015625	163840	0.7912371134020618	628	0.75	0.02222406617990396	2.5901639344262297	0.2459016393442623	0.3155737704918033	897	783	114	0.8729096989966555	0.01804123711340206	0.8	5	244	776	106	670	138	0.13659793814432988	0.4344262295081967	0.20784313725490194	0.9429436271254673	0.06958762886597938	0.22131147540983606	0.10588235294117647	3.5							0.053651520488434884	0.029535047551954907	0.028688524590163966	False
human_test	gap25_min40_t0.80	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.8	gap_minlen	44385	2970	27499	88986	0.9372822299651568	0.6174531189138056	0.7444711881179816	0.4387451171875	0.289031982421875	163840	0.9041916167664671	32	0.875	0.2669811043712689	0.7950819672131147	0.020491803278688523	0.319672131147541	889	783	106	0.8807649043869517	0.1497005988023952	0.8	5	244	167	82	85	162	0.49101796407185627	0.3360655737704918	0.39902676399026765	0.943308640718289	0.24550898203592814	0.1680327868852459	0.19951338199513383	3.25	25	40					0.2448351472238006	0.12316607660591226	0.032786885245901676	False
human_test	gap50_min80_t0.80	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.8	gap_minlen	43963	3081	27921	88875	0.9345081200578182	0.6115825496633465	0.7393212700121081	0.4387451171875	0.2871337890625	163840	0.896	0	0.0	0.0	0.680327868852459	0.01639344262295082	0.36885245901639346	888	789	99	0.8885135135135135	0.208	0.8	5	244	125	65	60	179	0.52	0.26639344262295084	0.3523035230352304	0.9415147515464426	0.248	0.12704918032786885	0.1680216802168022	4.0	50	80					0.19811190626876332	0.09167437482758063	0.08196721311475413	False
human_test	gap100_min100_t0.80	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt	0.8	gap_minlen	45812	4193	26072	87763	0.9161483851614839	0.6373045462133438	0.7517003175019896	0.4387451171875	0.305206298828125	163840	0.8725490196078431	0	0.0	0.0	0.6434426229508197	0.004098360655737705	0.38524590163934425	825	745	80	0.9030303030303031	0.27450980392156865	0.8	5	244	102	51	51	193	0.5	0.20901639344262296	0.29479768786127164	0.937113078100629	0.21568627450980393	0.09016393442622951	0.12716763005780346	4.0	100	100					0.14060607109480458	0.0508203246685819	0.09836065573770492	False
human_test	hmm_p1	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt		hmm	54450	3668	17434	88288	0.936887022953302	0.7574703689277169	0.8376794203166106	0.4387451171875	0.35472412109375	163840	0.923469387755102	37	0.8378378378378378	0.17353145904793643	0.8729508196721312	0.03278688524590164	0.29098360655737704	388	328	60	0.845360824742268	0.09693877551020408	0.8	5	244	196	95	101	149	0.4846938775510204	0.38934426229508196	0.4318181818181818	0.9412742398966742	0.22959183673469388	0.18442622950819673	0.20454545454545456	4.0			1.0				0.2776265650517148	0.128198149156233	0.0040983606557377095	False
human_test	hmm_p1_rescue_t0.50_max80	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt		hmm_rescue_short	54999	3746	16885	88210	0.9362328708826283	0.7651076734739303	0.8420641664561469	0.4387451171875	0.358551025390625	163840	0.8715753424657534	425	0.8447058823529412	0.01615004519549971	2.2172131147540983	0.0860655737704918	0.28688524590163933	0	0	0	0.0	0.032534246575342464	0.8	5	244	584	95	489	149	0.16267123287671234	0.38934426229508196	0.22946859903381644	0.9412742398966742	0.07705479452054795	0.18442622950819673	0.10869565217391305	4.0			1.0	0.5	80		0.07527698226734938	0.03234834678469149	0.0	True
human_test	hmm_p1_rescue_t0.50_max150	PIPE-TEFM-CAP-POSTPROC-20260701	42	4096	40	163840	single_nt		hmm_rescue_short	54999	3746	16885	88210	0.9362328708826283	0.7651076734739303	0.8420641664561469	0.4387451171875	0.358551025390625	163840	0.8715753424657534	425	0.8447058823529412	0.01615004519549971	2.2172131147540983	0.0860655737704918	0.28688524590163933	0	0	0	0.0	0.032534246575342464	0.8	5	244	584	95	489	149	0.16267123287671234	0.38934426229508196	0.22946859903381644	0.9412742398966742	0.07705479452054795	0.18442622950819673	0.10869565217391305	4.0			1.0	0.5	150		0.07527698226734938	0.03234834678469149	0.0	True
