panel	variant	true_len_bin	true_segments_bin	missed_true_rate_bin	split_true_rate_bin	mean_fragments_per_true_bin
human_test	gap100_min100_t0.80	lt80	56	0.8392857142857143	0.0	0.16071428571428573
human_test	gap100_min100_t0.80	80_300	129	0.3333333333333333	0.0	0.6666666666666666
human_test	gap100_min100_t0.80	300_1000	54	0.07407407407407407	0.0	0.9259259259259259
human_test	gap100_min100_t0.80	ge1000	5	0.0	0.2	2.4
human_test	hmm_p1	lt80	56	0.625	0.0	0.375
human_test	hmm_p1	80_300	129	0.2558139534883721	0.023255813953488372	0.7674418604651163
human_test	hmm_p1	300_1000	54	0.05555555555555555	0.05555555555555555	1.0185185185185186
human_test	hmm_p1	ge1000	5	0.0	0.4	7.6
human_test	hmm_p1_rescue_t0.50_max80	lt80	56	0.625	0.05357142857142857	0.4642857142857143
human_test	hmm_p1_rescue_t0.50_max80	80_300	129	0.24806201550387597	0.10077519379844961	0.9224806201550387
human_test	hmm_p1_rescue_t0.50_max80	300_1000	54	0.05555555555555555	0.05555555555555555	1.0925925925925926
human_test	hmm_p1_rescue_t0.50_max80	ge1000	5	0.0	0.4	67.4
human_test	hmm_p1_rescue_t0.50_max150	lt80	56	0.625	0.05357142857142857	0.4642857142857143
human_test	hmm_p1_rescue_t0.50_max150	80_300	129	0.24806201550387597	0.10077519379844961	0.9224806201550387
human_test	hmm_p1_rescue_t0.50_max150	300_1000	54	0.05555555555555555	0.05555555555555555	1.0925925925925926
human_test	hmm_p1_rescue_t0.50_max150	ge1000	5	0.0	0.4	67.4
human_test	hmm_p1_rescue_t0.50_max300	lt80	56	0.625	0.05357142857142857	0.4642857142857143
human_test	hmm_p1_rescue_t0.50_max300	80_300	129	0.24806201550387597	0.10077519379844961	0.9224806201550387
human_test	hmm_p1_rescue_t0.50_max300	300_1000	54	0.05555555555555555	0.05555555555555555	1.0925925925925926
human_test	hmm_p1_rescue_t0.50_max300	ge1000	5	0.0	0.4	67.4
human_test	hmm_p1_rescue_t0.60_max80	lt80	56	0.625	0.0	0.375
human_test	hmm_p1_rescue_t0.60_max80	80_300	129	0.24806201550387597	0.03875968992248062	0.7906976744186046
human_test	hmm_p1_rescue_t0.60_max80	300_1000	54	0.05555555555555555	0.05555555555555555	1.0185185185185186
human_test	hmm_p1_rescue_t0.60_max80	ge1000	5	0.0	0.4	11.0
human_test	hmm_p1_rescue_t0.60_max150	lt80	56	0.625	0.0	0.375
human_test	hmm_p1_rescue_t0.60_max150	80_300	129	0.24806201550387597	0.03875968992248062	0.7906976744186046
human_test	hmm_p1_rescue_t0.60_max150	300_1000	54	0.05555555555555555	0.05555555555555555	1.0185185185185186
human_test	hmm_p1_rescue_t0.60_max150	ge1000	5	0.0	0.4	11.0
human_test	hmm_p1_rescue_t0.60_max300	lt80	56	0.625	0.0	0.375
human_test	hmm_p1_rescue_t0.60_max300	80_300	129	0.24806201550387597	0.03875968992248062	0.7906976744186046
human_test	hmm_p1_rescue_t0.60_max300	300_1000	54	0.05555555555555555	0.05555555555555555	1.0185185185185186
human_test	hmm_p1_rescue_t0.60_max300	ge1000	5	0.0	0.4	11.0
human_test	hmm_p1_rescue_t0.70_max80	lt80	56	0.625	0.0	0.375
human_test	hmm_p1_rescue_t0.70_max80	80_300	129	0.2558139534883721	0.023255813953488372	0.7674418604651163
human_test	hmm_p1_rescue_t0.70_max80	300_1000	54	0.05555555555555555	0.05555555555555555	1.0185185185185186
human_test	hmm_p1_rescue_t0.70_max80	ge1000	5	0.0	0.4	7.8
human_test	hmm_p1_rescue_t0.70_max150	lt80	56	0.625	0.0	0.375
human_test	hmm_p1_rescue_t0.70_max150	80_300	129	0.2558139534883721	0.023255813953488372	0.7674418604651163
human_test	hmm_p1_rescue_t0.70_max150	300_1000	54	0.05555555555555555	0.05555555555555555	1.0185185185185186
human_test	hmm_p1_rescue_t0.70_max150	ge1000	5	0.0	0.4	7.8
human_test	hmm_p1_rescue_t0.70_max300	lt80	56	0.625	0.0	0.375
human_test	hmm_p1_rescue_t0.70_max300	80_300	129	0.2558139534883721	0.023255813953488372	0.7674418604651163
human_test	hmm_p1_rescue_t0.70_max300	300_1000	54	0.05555555555555555	0.05555555555555555	1.0185185185185186
human_test	hmm_p1_rescue_t0.70_max300	ge1000	5	0.0	0.4	7.8
human_test	lenadaptive_raw0.20_hmm1_cut80	lt80	56	0.6071428571428571	0.10714285714285714	0.625
human_test	lenadaptive_raw0.20_hmm1_cut80	80_300	129	0.2248062015503876	0.14728682170542637	1.1007751937984496
human_test	lenadaptive_raw0.20_hmm1_cut80	300_1000	54	0.05555555555555555	0.12962962962962962	1.3703703703703705
human_test	lenadaptive_raw0.20_hmm1_cut80	ge1000	5	0.0	0.6	25.2
human_test	lenadaptive_raw0.20_hmm1_cut150	lt80	56	0.5892857142857143	0.10714285714285714	0.6428571428571429
human_test	lenadaptive_raw0.20_hmm1_cut150	80_300	129	0.2713178294573643	0.13953488372093023	1.054263565891473
human_test	lenadaptive_raw0.20_hmm1_cut150	300_1000	54	0.07407407407407407	0.1111111111111111	1.3333333333333333
human_test	lenadaptive_raw0.20_hmm1_cut150	ge1000	5	0.0	0.6	25.4
