source	species	model	te_f1	distance_bucket	label_jaccard	repeat_library_completeness	ucsc_te_bp_log10	self_ucsc_bp_ratio_log	class_entropy	gc	train_clade_covered	kingdom_plant	stress_panel	insect_panel	path
repair_mixed	c_elegans	p5_archive_parity_4096	0.5649620953563325	0.95	0.833784	0.964483	6.962709391952546	0.04969724618578586	0.5351230628226509	0.0	0.0	0.0	0.0	0.0	
repair_mixed	chicken	p5_archive_parity_4096	0.8507349930284512	0.45	0.391291	0.394479	8.004344683160928	-0.3950973786864289	0.4351367984736259	0.0	0.0	0.0	0.0	0.0	
repair_mixed	fruit_fly	p5_archive_parity_4096	0.9216033478767542	0.85	0.888725	0.993839	7.377049515174335	0.04614982940082338	0.713273686850958	0.0	0.0	0.0	0.0	1.0	
repair_mixed	mouse	p5_archive_parity_4096	0.9494242491883046	0.2	0.892472	0.903571	9.04353895905665	-0.038101307922466285	0.5910283099286767	0.0	0.0	0.0	0.0	0.0	
repair_mixed	western_clawed_frog	p5_archive_parity_4096	0.7603618314005798	0.55	0.000179	0.000179	8.658576832986068	-3.73219836816952	0.4801144733706601	0.0	0.0	0.0	0.0	0.0	
repair_mixed	zebrafish	p5_archive_parity_4096	0.8759167676644187	0.65	0.837603	0.982602	8.887261261356677	0.06285057103103395	0.5007062747812986	0.0	0.0	0.0	0.0	0.0	
extend_transfer	soybean		0.219718379238161	1.25	0.121572	0.122064	8.608306218531684	-0.8992367578779318	0.17392699985914958	0.33065787447666023	0.0	1.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_eval/soybean.json
extend_transfer	teosinte		0.8171599879434643	1.2	0.086856	0.088019	9.40885472713007	-0.993955514543429	0.6973316816662691	0.4395222981770833	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_eval/teosinte.json
extend_transfer	brachypodium		0.08934281509400518	1.2	0.101164	0.1029	7.643041066433577	-0.9206109317487544	0.06583511724192198	0.45643717447916665	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_fine/brachypodium.json
extend_transfer	maize		0.8538807557503582	1.2	0.095466	0.095627	9.25065286834475	-1.0118103771989704	0.24379523200914857	0.4714225260416667	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_fine/maize.json
extend_transfer	rice		0.4390117488565789	1.2	0.042709	0.042814	8.176930876230262	-1.344116021434893	0.3898410147927084	0.4368538411458333	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_fine/rice.json
extend_transfer	sorghum		0.4190402211645393	1.2	0.057919	0.05798	8.620727936447597	-1.228939555640864	0.3764499737832796	0.4409488932291667	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_fine/sorghum.json
extend_transfer	thale_cress		0.14310610385111303	1.25	0.043011	0.043145	7.447932540451805	-1.3348837532454814	0.5750924525650837	0.37194986979166667	0.0	1.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/cross_kingdom_pu/plant_fine/thale_cress.json
extend_transfer	soybean	TFREPAIR_invert_boost_animal_4096_seed42	0.5650854892493286	1.25	0.121572	0.122064	8.608306218531684	-0.8992367578779318	0.17392699985914958	0.33065787447666023	0.0	1.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_eval/soybean.json
extend_transfer	teosinte	TFREPAIR_invert_boost_animal_4096_seed42	0.8886845637016639	1.2	0.086856	0.088019	9.40885472713007	-0.993955514543429	0.6973316816662691	0.4395222981770833	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_eval/teosinte.json
extend_transfer	brachypodium	TFREPAIR_invert_boost_animal_4096_seed42	0.43338983323804847	1.2	0.101164	0.1029	7.643041066433577	-0.9206109317487544	0.06583511724192198	0.45643717447916665	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_fine/brachypodium.json
extend_transfer	maize	TFREPAIR_invert_boost_animal_4096_seed42	0.9051649037911726	1.2	0.095466	0.095627	9.25065286834475	-1.0118103771989704	0.24379523200914857	0.4714225260416667	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_fine/maize.json
extend_transfer	rice	TFREPAIR_invert_boost_animal_4096_seed42	0.743674745054983	1.2	0.042709	0.042814	8.176930876230262	-1.344116021434893	0.3898410147927084	0.4368538411458333	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_fine/rice.json
extend_transfer	sorghum	TFREPAIR_invert_boost_animal_4096_seed42	0.8370785739861111	1.2	0.057919	0.05798	8.620727936447597	-1.228939555640864	0.3764499737832796	0.4409488932291667	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_fine/sorghum.json
extend_transfer	thale_cress	TFREPAIR_invert_boost_animal_4096_seed42	0.20790736538347387	1.25	0.043011	0.043145	7.447932540451805	-1.3348837532454814	0.5750924525650837	0.37194986979166667	0.0	1.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/invert_boost/plant_fine/thale_cress.json
extend_transfer	soybean		0.219718379238161	1.25	0.121572	0.122064	8.608306218531684	-0.8992367578779318	0.17392699985914958	0.33065787447666023	0.0	1.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_base_pu/plant_eval/soybean.json
extend_transfer	teosinte		0.8171599879434643	1.2	0.086856	0.088019	9.40885472713007	-0.993955514543429	0.6973316816662691	0.4395222981770833	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_base_pu/plant_eval/teosinte.json
extend_transfer	brachypodium		0.08934281509400518	1.2	0.101164	0.1029	7.643041066433577	-0.9206109317487544	0.06583511724192198	0.45643717447916665	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_base_pu/plant_fine/brachypodium.json
extend_transfer	maize		0.8538807557503582	1.2	0.095466	0.095627	9.25065286834475	-1.0118103771989704	0.24379523200914857	0.4714225260416667	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_base_pu/plant_fine/maize.json
extend_transfer	rice		0.4390117488565789	1.2	0.042709	0.042814	8.176930876230262	-1.344116021434893	0.3898410147927084	0.4368538411458333	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_base_pu/plant_fine/rice.json
extend_transfer	sorghum		0.4190402211645393	1.2	0.057919	0.05798	8.620727936447597	-1.228939555640864	0.3764499737832796	0.4409488932291667	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_base_pu/plant_fine/sorghum.json
extend_transfer	thale_cress		0.14310610385111303	1.25	0.043011	0.043145	7.447932540451805	-1.3348837532454814	0.5750924525650837	0.37194986979166667	0.0	1.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_base_pu/plant_fine/thale_cress.json
extend_transfer	soybean		0.219718379238161	1.25	0.121572	0.122064	8.608306218531684	-0.8992367578779318	0.17392699985914958	0.33065787447666023	0.0	1.0	1.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_positive_only/plant_eval/soybean.json
extend_transfer	teosinte		0.8171599879434643	1.2	0.086856	0.088019	9.40885472713007	-0.993955514543429	0.6973316816662691	0.4395222981770833	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_positive_only/plant_eval/teosinte.json
extend_transfer	brachypodium		0.08934281509400518	1.2	0.101164	0.1029	7.643041066433577	-0.9206109317487544	0.06583511724192198	0.45643717447916665	0.0	1.0	0.0	0.0	reports/tefm_extend/PIPE-TEFM-EXTEND-20260620/plant_transfer/plant_from_invert_positive_only/plant_fine/brachypodium.json
