source	species	model	te_f1	target_kingdom	anchor_type	distance_mya	log_distance_mya	target_gc	same_kingdom_anchor	cross_anchor	plant_target	insect_target	vertebrate_target	label_jaccard	library_completeness	self_ucsc_ratio_log	path
calib_summary	lizard	cross_supervised_4096	0.2400378125654802	vertebrate	cross	320.0	2.505149978319906	0.40405036669277106	0.0	1.0	0.0	0.0	1.0	0.038956	0.053715	-0.3639181796590216	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/stress_eval/lizard.json
calib_summary	red_flour_beetle	cross_supervised_4096	0.00308713842548429	insect	cross	820.0	2.9138138523837167	0.3398226403076848	0.0	1.0	0.0	1.0	0.0	0.027167	0.29354	1.004254993521776	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/stress_eval/red_flour_beetle.json
calib_summary	western_honey_bee	cross_supervised_4096	0.005289801490245151	insect	cross	820.0	2.9138138523837167	0.3657441979287441	0.0	1.0	0.0	1.0	0.0	0.020425	0.982865	1.6821794829942562	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/stress_eval/western_honey_bee.json
calib_summary	x_laevis	cross_supervised_4096	0.3945827783795458	vertebrate	cross	370.0	2.568201724066995	0.3856893499332528	0.0	1.0	0.0	0.0	1.0	0.000194	0.000194	-3.6232965958865218	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/cross_supervised/stress_eval/x_laevis.json
calib_summary	red_flour_beetle	direct_red_flour_beetle_4096	0.0	insect	insect	820.0	2.9138138523837167	0.3398226403076848	1.0	0.0	0.0	1.0	0.0	0.027167	0.29354	1.004254993521776	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/direct_beetle/cross_eval/red_flour_beetle.json
calib_summary	western_honey_bee	direct_red_flour_beetle_4096	0.0	insect	insect	820.0	2.9138138523837167	0.3657441979287441	1.0	0.0	0.0	1.0	0.0	0.020425	0.982865	1.6821794829942562	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/direct_beetle/cross_eval/western_honey_bee.json
calib_summary	red_flour_beetle	direct_red_flour_beetle_4096	0.0	insect	insect	820.0	2.9138138523837167	0.3398226403076848	1.0	0.0	0.0	1.0	0.0	0.027167	0.29354	1.004254993521776	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/direct_beetle/stress_eval/red_flour_beetle.json
calib_summary	western_honey_bee	direct_red_flour_beetle_4096	0.0	insect	insect	820.0	2.9138138523837167	0.3657441979287441	1.0	0.0	0.0	1.0	0.0	0.020425	0.982865	1.6821794829942562	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/direct_beetle/stress_eval/western_honey_bee.json
calib_summary	red_flour_beetle	direct_western_honey_bee_4096	0.0	insect	insect	820.0	2.9138138523837167	0.3398226403076848	1.0	0.0	0.0	1.0	0.0	0.027167	0.29354	1.004254993521776	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/direct_honeybee/cross_eval/red_flour_beetle.json
calib_summary	western_honey_bee	direct_western_honey_bee_4096	0.0	insect	insect	820.0	2.9138138523837167	0.3657441979287441	1.0	0.0	0.0	1.0	0.0	0.020425	0.982865	1.6821794829942562	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/direct_honeybee/cross_eval/western_honey_bee.json
