feature_set	split	species	species_group	action	deployed_anchor_or_shortlist	top1_anchor	top2_anchors	true_best_anchor	top1_contains_best	top2_contains_best	top1_actual_te_f1	top2_probe_actual_te_f1	true_best_te_f1	top1_regret	top2_probe_regret	deployed_regret	pred_top1_score	pred_top2_score	pred_margin	pred_top1_sd	risk_bin	abstain	local_probe_recommended	confidently_wrong_single_anchor
baseline_plus_assembly_kmer	leave_species_out	c_elegans	other	top2_shortlist_local_probe	insect,insect	insect	insect,insect	animal	0	0	0.8945547202059512	0.8945547202059512	0.9053972034713066	0.010842483265355418	0.010842483265355418	0.010842483265355418	0.0947659949757308	0.0947659949757308	0.0	0.1545542303138776	very_low_lt0.40	0	1	0
baseline_plus_assembly_kmer	leave_species_out	cattle	vertebrate	top2_shortlist_local_probe	animal,cross	animal	animal,cross	animal	1	1	0.9216935615407684	0.9216935615407684	0.9216935615407684	0.0	0.0	0.0	0.6934423233611056	0.6914943146733552	0.0019480086877503577	0.2612616023995853	medium_0.60_0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	chicken	vertebrate	top2_shortlist_local_probe	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	0	1	0.6195493201860316	0.8516226680157541	0.8516226680157541	0.23207334782972255	0.0	0.0	0.603310338625995	0.5976360874158936	0.005674251210101455	0.2338916652922927	medium_0.60_0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	fruit_fly	insect	top2_shortlist_local_probe	cross,animal	cross	cross,animal	insect	0	0	0.942393180917196	0.9437257723304636	0.944818571090276	0.0024253901730799665	0.0010927987598123856	0.0010927987598123856	0.7289065619215371	0.7163214258137077	0.012585136107829409	0.2298217828051778	medium_0.60_0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	horse	vertebrate	top2_shortlist_local_probe	animal,cross	animal	animal,cross	cross	0	1	0.8913728851560259	0.8925601404845789	0.8925601404845789	0.0011872553285530163	0.0	0.0	0.6549795460156311	0.6258040598702477	0.029175486145383456	0.2497982201398914	medium_0.60_0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	human	vertebrate	top2_shortlist_local_probe	human_h0_ntv2_500m,animal	human_h0_ntv2_500m	human_h0_ntv2_500m,animal	human_h0_ntv2_500m	1	1	0.961411324419745	0.961411324419745	0.961411324419745	0.0	0.0	0.0	0.7241296893670243	0.3785892817610317	0.3455404076059926	0.1868709131500339	medium_0.60_0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	lizard	vertebrate	top2_shortlist_local_probe	animal,animal	animal	animal,animal	animal	1	1	0.2416400416987031	0.2416400416987031	0.2416400416987031	0.0	0.0	0.0	0.6153695462202879	0.6153695462202879	0.0	0.2324519535608171	medium_0.60_0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	maize	plant	top2_shortlist_local_probe	plant,cross	plant	plant,cross	cross	0	1	0.9619894139220538	0.9629892479990332	0.9629892479990332	0.0009998340769793446	0.0	0.0	0.8184852465376724	0.7305519429609719	0.08793330357670048	0.137818734563425	high_ge0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	mouse	vertebrate	top2_shortlist_local_probe	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	0	1	0.7771925460040144	0.937559801228433	0.937559801228433	0.16036725522441853	0.0	0.0	0.2956250324281063	0.2925445045996508	0.0030805278284554705	0.1853724725619734	very_low_lt0.40	0	1	0
baseline_plus_assembly_kmer	leave_species_out	opossum	vertebrate	top2_shortlist_local_probe	animal,cross	animal	animal,cross	animal	1	1	0.8811419601553324	0.8811419601553324	0.8811419601553324	0.0	0.0	0.0	0.7299374922754939	0.7223414292850695	0.007596062990424368	0.2686119736515143	medium_0.60_0.80	0	1	0
