feature_set	split	species	species_group	chosen_anchor	true_best_anchor	chosen_actual_te_f1	true_best_te_f1	anchor_top1_hit	anchor_top2_hit	regret	predicted_score	predicted_uncertainty_sd	risk_bin
baseline_plus_kmer	leave_clade_out	thale_cress	plant	cross	cross	0.7121875392581978	0.7121875392581978	1	1	0.0	0.7755628989396528	0.21467768166760312	medium_0.60_0.80
baseline_plus_kmer	leave_clade_out	western_clawed_frog	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.5191597065847986	0.7676709570719781	0	0	0.24851125048717948	0.31934399148424025	0.2150706364842858	very_low_lt0.40
baseline_plus_kmer	leave_clade_out	western_honey_bee	insect	cross	insect	0.0052898014902451	0.946524064171123	0	0	0.941234262680878	0.8245163394610412	0.1667370341388707	high_ge0.80
baseline_plus_kmer	leave_clade_out	x_laevis	vertebrate	cross	animal	0.3945827783795458	0.4013777654205557	0	0	0.006794987041009892	0.7477468304369641	0.1569344988078047	medium_0.60_0.80
baseline_plus_kmer	leave_clade_out	zebrafish	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.5214699959942013	0.8151318178516959	0	0	0.29366182185749456	0.3038575495378369	0.17196946965694268	very_low_lt0.40
baseline_plus_assembly_kmer	leave_species_out	brachypodium	plant	cross	cross	0.8175422271365038	0.8175422271365038	1	1	0.0	0.9006511661627106	0.06834480734330818	high_ge0.80
baseline_plus_assembly_kmer	leave_species_out	c_elegans	other	insect	animal	0.8945547202059512	0.9053972034713066	0	0	0.010842483265355418	0.09476599497573081	0.1545542303138776	very_low_lt0.40
baseline_plus_assembly_kmer	leave_species_out	cattle	vertebrate	animal	animal	0.9216935615407684	0.9216935615407684	1	1	0.0	0.6934423233611056	0.26126160239958535	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_species_out	chicken	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.6195493201860316	0.8516226680157541	0	0	0.23207334782972255	0.603310338625995	0.23389166529229272	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_species_out	fruit_fly	insect	cross	insect	0.942393180917196	0.944818571090276	0	0	0.0024253901730799665	0.7289065619215371	0.22982178280517787	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_species_out	horse	vertebrate	animal	cross	0.8913728851560259	0.8925601404845789	0	1	0.0011872553285530163	0.6549795460156311	0.24979822013989145	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_species_out	human	vertebrate	human_h0_ntv2_500m	human_h0_ntv2_500m	0.961411324419745	0.961411324419745	1	1	0.0	0.7241296893670243	0.18687091315003396	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_species_out	lizard	vertebrate	animal	animal	0.2416400416987031	0.2416400416987031	1	1	0.0	0.6153695462202879	0.2324519535608171	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_species_out	maize	plant	plant	cross	0.9619894139220538	0.9629892479990332	0	1	0.0009998340769793446	0.8184852465376724	0.13781873456342508	high_ge0.80
baseline_plus_assembly_kmer	leave_species_out	mouse	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.7771925460040144	0.937559801228433	0	0	0.16036725522441853	0.29562503242810634	0.18537247256197348	very_low_lt0.40
baseline_plus_assembly_kmer	leave_species_out	opossum	vertebrate	animal	animal	0.8811419601553324	0.8811419601553324	1	1	0.0	0.7299374922754939	0.2686119736515143	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_species_out	pig	vertebrate	animal	animal	0.8761131743803473	0.8761131743803473	1	1	0.0	0.6744841661086098	0.25487905181057935	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_species_out	red_flour_beetle	insect	animal	insect	0.0044488885799382	0.0059299524368398	0	0	0.0014810638569016004	0.6268355660746519	0.28216484457848084	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_species_out	rice	plant	cross	cross	0.8757886614942711	0.8757886614942711	1	1	0.0	0.8202369643240621	0.10368613695598926	high_ge0.80
baseline_plus_assembly_kmer	leave_species_out	sorghum	plant	cross	cross	0.9154621597006132	0.9154621597006132	1	1	0.0	0.8731335803910102	0.08411006307102878	high_ge0.80
baseline_plus_assembly_kmer	leave_species_out	soybean	plant	cross	animal	0.4136761357660033	0.5650860204945004	0	0	0.1514098847284971	0.41689760116035723	0.2998512342983222	low_0.40_0.60
baseline_plus_assembly_kmer	leave_species_out	teosinte	plant	animal	plant	0.8886845637016639	0.9308197551982428	0	0	0.04213519149657885	0.3839789792119114	0.27305594583191317	very_low_lt0.40
baseline_plus_assembly_kmer	leave_species_out	thale_cress	plant	cross	cross	0.7121875392581978	0.7121875392581978	1	1	0.0	0.7067006966880319	0.19048063824692274	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_species_out	western_clawed_frog	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.5191597065847986	0.7676709570719781	0	0	0.24851125048717948	0.5239892899639362	0.23574607994385183	low_0.40_0.60
baseline_plus_assembly_kmer	leave_species_out	western_honey_bee	insect	insect	insect	0.946524064171123	0.946524064171123	1	1	0.0	0.19306786433977927	0.3161290634539893	very_low_lt0.40
baseline_plus_assembly_kmer	leave_species_out	x_laevis	vertebrate	animal	animal	0.4013777654205557	0.4013777654205557	1	1	0.0	0.5404513276143246	0.30216294096756713	low_0.40_0.60
baseline_plus_assembly_kmer	leave_species_out	zebrafish	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.5214699959942013	0.8151318178516959	0	0	0.29366182185749456	0.39851179352199123	0.22874532309800308	very_low_lt0.40
baseline_plus_assembly_kmer	leave_clade_out	brachypodium	plant	cross	cross	0.8175422271365038	0.8175422271365038	1	1	0.0	0.8925531817486199	0.08471236164505651	high_ge0.80
baseline_plus_assembly_kmer	leave_clade_out	c_elegans	other	insect	animal	0.8945547202059512	0.9053972034713066	0	0	0.010842483265355418	0.09476599497573081	0.1545542303138776	very_low_lt0.40
