path	stage	model_key	window	species	position_bin	te_f1	te_precision	te_recall	te_auprc	macro_f1	bg_f1	n_labeled_tokens	te_positive_rate	n_windows	model_dir	data_dir
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w8192.tsv	edge_H0_window	dnabert2	8192	human	edge_left_10	0.9039528852911951	0.8720190779014309	0.938314465408805	0.9749032548529192	0.9147672713313053	0.9255816573714156	47257	0.4205726135810568	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w8192_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w8192_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w8192.tsv	edge_H0_window	dnabert2	8192	human	inner_left_10_25	0.9264739707122595	0.9142632327573162	0.9390152928011936	0.9789870725479358	0.9317261750781511	0.9369783794440427	70650	0.4553715498938429	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w8192_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w8192_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w8192.tsv	edge_H0_window	dnabert2	8192	human	center_25_75	0.9124363739671867	0.8903993124543715	0.9355919366115125	0.9723290818379264	0.9206504846806265	0.9288645953940662	235582	0.43714715046141045	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w8192_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w8192_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w8192.tsv	edge_H0_window	dnabert2	8192	human	inner_right_75_90	0.9171420895428039	0.9024663328460797	0.9323030458809921	0.9719823441964711	0.9250089712587466	0.9328758529746892	70693	0.44026989942427114	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w8192_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w8192_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/dnabert2_w8192.tsv	edge_H0_window	dnabert2	8192	human	edge_right_10	0.8967345007098911	0.8621740910952359	0.9341813341221713	0.969130576130762	0.906652789851772	0.9165710789936529	47284	0.4289611707977328	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_dnabert2_H0_w8192_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w8192_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/generanno_w1024.tsv	edge_H0_window	generanno	1024	human	edge_left_10	0.7686892722585763	0.9063595978489596	0.6673265622310208	0.8937737844653052	0.8283006272890845	0.8879119823195926	30900	0.37598705501618124	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w1024_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w1024_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/generanno_w1024.tsv	edge_H0_window	generanno	1024	human	inner_left_10_25	0.7653003368575526	0.876202840995876	0.6793178992243472	0.8839626131447981	0.825732168525837	0.8861640001941213	45900	0.3679520697167756	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w1024_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w1024_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/generanno_w1024.tsv	edge_H0_window	generanno	1024	human	center_25_75	0.8083342325815619	0.9209097428542158	0.7202839789099185	0.9168708185604956	0.849793557646727	0.8912528827118921	153600	0.40624348958333334	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w1024_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w1024_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/generanno_w1024.tsv	edge_H0_window	generanno	1024	human	inner_right_75_90	0.7835264147510159	0.9055096032524884	0.690506735086594	0.9060304361341044	0.8310927555344854	0.8786590963179547	45900	0.4075816993464052	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w1024_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w1024_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/generanno_w1024.tsv	edge_H0_window	generanno	1024	human	edge_right_10	0.7666922486569455	0.886915991565864	0.6751710737517952	0.8830830351982326	0.8239595253833663	0.881226802109787	30900	0.3830744336569579	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w1024_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w1024_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/generanno_w2048.tsv	edge_H0_window	generanno	2048	human	edge_left_10	0.878049725040663	0.9205440519691434	0.8393055452728215	0.9512503544268516	0.8948940255900103	0.9117383261393576	61500	0.4392520325203252	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w2048_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/generanno_w2048.tsv	edge_H0_window	generanno	2048	human	inner_left_10_25	0.8957613059280929	0.9343231533340378	0.8602563790712948	0.9600490820935275	0.9087736848824781	0.9217860638368635	92100	0.44637350705754614	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w2048_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/generanno_w2048.tsv	edge_H0_window	generanno	2048	human	center_25_75	0.9017487051486737	0.9372760135872106	0.8688163501119376	0.9592109241565148	0.9131615201990728	0.9245743352494721	307200	0.45074869791666666	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w2048_quick
reports/tefm_supp/PIPE-TEFM-SUPP-20260617/edge_H0_window/generanno_w2048.tsv	edge_H0_window	generanno	2048	human	inner_right_75_90	0.8937164332601161	0.9215521981618706	0.8675129405964999	0.9593594091746077	0.9071622786943796	0.9206081241286431	92100	0.44049945711183497	300	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/runs/TFSUPP_generanno_H0_w2048_seed42	software_outputs/tefm_supp/PIPE-TEFM-SUPP-20260617/data/human_H0_w2048_quick
